task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
24	f3/fd348f	27777	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2024-05-21 12:24:44.191	29m 23s	29m 13s	584.7%	95 MB	834 MB	821.1 MB	807.8 MB
20	e4/abb6c2	47522	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2024-05-21 12:54:07.524	2m 10s	2m 6s	635.3%	78.1 MB	841.3 MB	92.8 MB	84.5 MB
22	4e/7b6d09	50897	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2024-05-21 12:56:18.173	6m 11s	6m 5s	587.9%	93.4 MB	846 MB	173.3 MB	163.5 MB
26	60/3402cf	59097	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2024-05-21 13:02:29.894	3m 13s	3m 5s	570.1%	108.6 MB	798.4 MB	92.7 MB	83 MB
27	6e/6956cf	63986	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2024-05-21 13:05:42.458	6.5s	3.9s	298.5%	100.2 MB	2.9 GB	5.1 MB	4.6 MB
28	5e/102c40	64244	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2024-05-21 13:05:49.068	28.8s	25.7s	246.1%	725.8 MB	2.9 GB	35.5 MB	32.4 MB
29	d7/d42a76	65030	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2024-05-21 13:06:17.943	4.8s	2s	335.0%	84.9 MB	2.9 GB	7.8 MB	7.4 MB
30	6e/b5d0d9	65233	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2024-05-21 13:06:22.795	5.4s	2.6s	335.5%	152.5 MB	2.9 GB	7.9 MB	7.2 MB
31	db/652a5a	65464	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2024-05-21 13:06:28.216	5.3s	1.4s	305.7%	47 MB	2.6 GB	12.1 MB	5.1 MB
32	bf/d20d63	65614	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2024-05-21 13:06:33.544	2.8s	474ms	150.3%	7.2 MB	224.9 MB	4.8 MB	6.3 KB
33	1f/820631	65753	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2024-05-21 13:06:36.340	5s	2.7s	168.1%	7.2 MB	224.9 MB	32.6 MB	6.3 KB
34	9c/1bae75	66010	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2024-05-21 13:06:41.367	2.4s	423ms	144.0%	7 MB	224.9 MB	7.5 MB	6.3 KB
35	4a/e78d74	66156	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2024-05-21 13:06:43.834	2.6s	596ms	156.7%	7.1 MB	224.9 MB	7.3 MB	6.3 KB
36	34/465322	66292	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2024-05-21 13:06:46.470	2.5s	348ms	144.0%	7.1 MB	224.9 MB	5.2 MB	6.3 KB
37	b2/400eaf	66465	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2024-05-21 13:06:49.190	3.1s	74ms	152.9%	0	0	146.4 KB	6.2 KB
40	60/1492c2	66669	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2024-05-21 13:06:52.323	5.2s	2.9s	169.2%	7.2 MB	224.9 MB	32.6 MB	6.7 KB
38	d8/e9aa98	66927	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2024-05-21 13:06:57.583	2.9s	441ms	128.8%	7.1 MB	224.9 MB	4.8 MB	6.7 KB
45	c5/bbcf66	67127	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2024-05-21 13:07:00.531	7.2s	125ms	133.3%	0	0	146.4 KB	6.2 KB
47	42/64a8f6	67431	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2024-05-21 13:07:07.750	3.4s	65ms	165.5%	0	0	146.4 KB	6.2 KB
46	53/b3569c	67705	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2024-05-21 13:07:11.187	2.3s	68ms	192.0%	0	0	146.4 KB	6.2 KB
